


Marcus Chong	Marcus Chong	...	Tank
Julian Arahanga	Julian Arahanga	...	Apoc
Matt Doran	Matt Doran	...	Mouse
Belinda McClory	Belinda McClory	...	Switch
Anthony Ray Parker	Anthony Ray Parker	...	Dozer
Paul Goddard	Paul Goddard	...	Agent Brown
Robert Taylor	Robert Taylor	...	Agent Jones
David Aston	David Aston	...	Rhineheart
Marc Aden Gray	Marc Aden Gray	...	Choi (as Marc Gray)
Ada Nicodemou	Ada Nicodemou	...	Dujour (White Rabbit Girl)
Deni Gordon	Deni Gordon	...	Priestess
Rowan Witt	Rowan Witt	...	Spoon Boy
Eleanor Witt	Eleanor Witt	...	Potential (as Elenor Witt)
Tamara Brown	Tamara Brown	...	Potential
Janaya Pender	Janaya Pender	...	Potential
Adryn White	Adryn White	...	Potential
Natalie Tjen	Natalie Tjen	...	Potential
Bill Young	Bill Young	...	Lieutenant
David O'Connor	David O'Connor	...	FedEx Man
Jeremy Ball	Jeremy Ball	...	Businessman
Fiona Johnson	Fiona Johnson	...	Woman in Red
Harry Lawrence	Harry Lawrence	...	Old Man
Steve Dodd	Steve Dodd	...	Blind Man
Luke Quinton	Luke Quinton	...	Security Guard
Lawrence Woodward	Lawrence Woodward	...	Guard
Michael Butcher	Michael Butcher	...	Cop Who Captures Neo
Bernard Ledger	Bernard Ledger	...	Big Cop (as Bernie Ledger)
Robert Simper	Robert Simper	...	Cop
Chris Pattinson	Chris Pattinson	...	Cop (as Chris Scott)
Nigel Harbach	Nigel Harbach	...	Parking Cop
